,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters
819,mountain,"sigma = 0.2,tol = 1,grid p = 11",Cosine,97.04459580458419,0.9866598056233795,-0.4220416503509172,19.322534047592264,0.5653363613501077,-0.01150824121392302,0.46308724832214765,0.4975185951049946,0.30434782608695654,2
820,mountain,"sigma = 0.3,tol = 0.1,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
821,mountain,"sigma = 0.3,tol = 0.2,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
822,mountain,"sigma = 0.3,tol = 0.3,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
823,mountain,"sigma = 0.3,tol = 0.4,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
824,mountain,"sigma = 0.3,tol = 0.5,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
825,mountain,"sigma = 0.3,tol = 0.6,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
826,mountain,"sigma = 0.3,tol = 0.7,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
827,mountain,"sigma = 0.3,tol = 0.8,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
828,mountain,"sigma = 0.3,tol = 0.9,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
